pid,kicker,kgro,knet,ktb,kr,kry
77921,KB-2300,59,38,0,TH-2700,21
77969,NR-0100,16,16,0,,0
77984,NR-0100,49,23,0,TE-0200,26
77988,NR-0100,41,41,0,CG-0700,0
78010,MK-1100,56,40,0,VS-0300,16
78046,MK-1100,13,13,0,,0
78052,JC-5000,70,50,1,,0
78064,MK-1100,30,30,0,,0
78086,JC-5000,46,39,0,DE-1100,7
78088,JC-5000,62,45,0,RS-3500,17
78100,MK-1100,50,23,0,VS-0300,27
78112,MK-1100,61,43,0,VS-0300,18
78133,MK-1100,63,47,0,VS-0300,16
78166,JC-5000,14,14,0,,0
78168,JE-0200,61,64,0,TK-0500,-3
78180,SJ-0300,64,34,0,CC-3300,30
78195,JE-0200,63,42,0,TK-0500,21
78208,JE-0200,70,50,1,,0
78221,SJ-0300,69,46,0,KK-0200,23
78236,JE-0200,67,44,0,TK-0500,23
78244,SJ-0300,70,46,0,KK-0200,24
78262,SJ-0300,65,49,0,KK-0200,16
78290,JE-0200,55,18,0,TK-0500,37
78316,JE-0200,65,45,0,TK-0500,20
78328,JH-0900,72,44,0,AD-1000,28
78335,PE-0100,70,47,0,DH-4200,23
78353,PE-0100,66,29,0,DH-4200,37
78392,PE-0100,67,47,0,DH-4200,20
78414,PE-0100,65,43,0,DH-4200,22
78487,PE-0100,45,30,0,,0
78495,RL-1300,65,41,0,HM-0500,24
78550,LJ-1000,65,40,0,DL-1100,25
78562,RL-1300,48,37,0,SW-2200,11
78577,LJ-1000,55,27,0,DL-1100,28
78601,LJ-1000,57,30,0,DL-1100,27
78620,RL-1300,57,29,0,HM-0500,28
78627,LJ-1000,55,34,0,DL-1100,21
78636,RL-1300,63,45,0,HM-0500,18
78641,RL-1300,53,39,0,HM-0500,14
78660,TP-1200,51,38,0,MR-1900,13
78667,TP-1200,66,49,0,MR-1900,17
78678,JH-5000,63,38,0,DH-0600,25
78711,JH-5000,67,27,0,DH-0600,40
78724,TP-1200,65,43,0,MR-1900,22
78731,JH-5000,60,39,0,DH-0600,21
78748,JH-5000,65,38,0,DH-0600,27
78767,TP-1200,70,50,1,,0
78777,TP-1200,60,36,0,MR-1900,24
78791,JH-5000,59,50,0,DH-0600,9
78809,TP-1200,56,34,0,EJ-1100,22
78825,TP-1200,57,39,0,DG-0800,18
78832,OM-0100,72,57,0,DV-0200,15
78848,JF-0900,64,53,0,BM-0200,11
78867,OM-0100,62,42,0,DV-0200,20
78908,OM-0100,66,53,0,DV-0200,13
78916,OM-0100,43,33,0,AC-2700,10
78918,JF-0900,62,38,0,BM-0200,24
78964,JF-0900,70,49,0,BM-0200,21
78986,JH-0500,70,50,1,,0
79001,JH-0500,64,47,0,AB-1900,17
79023,JH-0500,56,38,0,AB-1900,18
79059,SG-1100,44,26,0,LJ-1500,18
79063,JH-0500,70,50,1,,0
79073,SG-1100,56,43,0,CY-0100,13
79107,JH-0500,62,41,0,AB-1900,21
79144,DA-0300,65,34,0,JC-1400,31
79160,DA-0300,78,58,1,,0
79220,OP-0200,59,41,0,BM-3300,18
79228,OP-0200,64,27,0,BM-3300,37
79256,OP-0200,63,38,0,BM-3300,25
79268,DA-0300,65,41,0,OS-1000,24
79281,OP-0200,58,34,0,BM-3300,24
79296,OP-0200,58,37,0,BM-3300,21
79305,DA-0300,67,44,0,JC-1400,23
79318,DA-0300,76,56,1,,0
79320,WR-0500,74,54,1,,0
79339,WR-0500,70,41,0,CR-1500,29
79350,WR-0500,61,37,0,KJ-1300,24
79365,WR-0500,61,46,0,CR-1500,15
79370,RL-0900,56,40,0,RJ-0700,16
79383,RL-0900,60,47,0,RJ-0700,13
79407,RL-0900,61,43,0,RJ-0700,18
79421,WR-0500,55,36,0,CR-1500,19
79429,RL-0900,63,43,0,RJ-0700,20
79456,WR-0500,68,43,0,CR-1500,25
