pid,punter,pgro,pnet,ptb,pr,pry,pfc
581362,MK-1200,44,44,0,TG-0900,0,1
581366,BN-0700,47,47,0,EP-0050,0,0
581379,MK-1200,36,36,0,TG-0900,0,1
581386,BN-0700,37,37,0,,0,0
581431,SM-0650,64,47,0,DH-1800,17,0
581437,CJ-2100,54,34,1,,0,0
581444,SM-0650,39,39,0,,0,0
581452,CJ-2100,32,32,0,RB-4150,0,1
581464,CJ-2100,40,40,0,RB-4150,0,1
581471,CJ-2100,47,43,0,RB-4150,4,0
581477,SM-0650,59,39,1,,0,0
581508,SM-0650,41,33,0,DH-1800,8,0
581516,CJ-2100,58,38,1,,0,0
581528,CJ-2100,38,38,0,JR-3270,0,1
581582,CJ-2100,44,44,0,JR-3270,0,1
581605,SW-0500,30,30,0,,0,0
581622,DJ-2800,53,53,0,,0,0
581636,DJ-2800,43,43,0,RR-0130,0,1
581659,DJ-2800,50,45,0,RR-0130,5,0
581703,SW-0500,56,56,0,,0,0
581707,DJ-2800,54,50,0,RR-0130,4,0
581711,SW-0500,68,68,0,,0,0
581715,DJ-2800,29,29,0,,0,0
581734,DJ-2800,37,37,0,,0,0
581741,SW-0500,49,33,0,DJ-0950,16,0
581763,SW-0500,16,16,0,,0,0
581782,SL-0150,51,47,0,DM-1200,4,0
581798,SL-0150,41,39,0,DM-1200,2,0
581818,SL-0150,54,52,0,RP-0200,2,0
581866,DC-3200,47,37,0,TB-1060,10,0
581873,SL-0150,43,31,0,DM-1200,12,0
581877,DC-3200,56,47,0,TB-1060,9,0
581884,SL-0150,44,24,0,DM-1200,20,0
581891,DC-3200,53,45,0,DB-1800,8,0
581898,SL-0150,47,47,0,,0,0
581903,DC-3200,41,41,0,DB-1800,0,0
581911,DC-3200,43,43,0,DB-1800,0,1
581945,TM-3300,41,41,0,LM-1100,0,1
581960,BM-3600,45,45,0,DS-3300,0,0
581988,TM-3300,48,48,0,LM-1100,0,1
582007,BM-3600,53,53,0,DS-3300,0,1
582032,TM-3300,43,23,1,,0,0
582036,BM-3600,39,39,0,DS-3300,0,1
582069,TM-3300,55,53,0,LM-1100,2,0
582123,BA-0850,49,29,1,,0,0
582138,BA-0850,51,47,0,KW-1800,4,0
582155,BA-0850,47,47,0,KW-1800,0,1
