pid,psr,ints,iry
44040,DF-1300,FS-0400,0
44057,DF-1300,CB-0100,5
44261,JG-0600,SD-0900,0
44369,SM-2400,SM-0200,0
44417,NO-0100,BW-0300,0
44425,NO-0100,ZT-0100,34
44694,CC-1400,DE-1200,27
44883,JM-4500,OT-0100,0
44999,EG-0600,BS-2000,5
45062,EG-0600,AH-2000,22
45071,EG-0600,TS-2900,66
45177,TD-1100,PE-0200,19
45183,TC-2600,RB-0200,0
45189,TD-1100,AH-2700,5
45196,TD-1100,AH-2700,53
45211,TC-2600,TF-0100,26
45220,TD-1100,JM-4400,0
45226,TD-1100,EL-0400,0
45257,TD-1100,CF-1500,1
45269,TD-1100,AH-2700,0
45313,AW-2100,RM-3300,-1
45384,AW-2100,TC-1800,0
45427,AW-2100,RM-3300,33
45443,PM-0200,NC-0200,48
45495,RJ-1200,CC-4500,12
45585,PM-0200,AW-1800,0
45788,KC-2000,RC-2600,8
45792,TG-1600,SW-1500,0
45827,KC-2000,EW-0300,0
45866,KC-2000,GC-0100,0
45983,JF-1400,DG-1000,9
46020,JF-1400,AD-1500,26
46122,DB-2600,AG-0800,0
46186,DB-2600,JF-0500,47
46255,JG-0600,MF-0400,30
46283,KW-0500,AP-1700,0
46593,JP-3200,DW-0600,20
46770,BF-0100,FS-0400,0
46774,JG-1000,NW-0200,18
46953,JP-3200,RB-4600,33
46964,JP-3200,DV-0200,0
46992,JP-3200,KB-2100,9
47142,AV-0200,CS-1100,62
47153,BF-0100,DE-1200,3
47189,BF-0100,DG-2400,8
47282,CW-1300,TW-2900,28
47301,EG-0600,CM-1800,17
47407,BG-1900,DS-4000,0
47463,BG-1900,CH-1800,1
47474,MB-4500,OR-0200,0
47491,TC-2600,AB-0900,0
47628,JQ-0100,DM-1500,32
47638,DC-4400,DB-4200,2
47752,DC-4400,RB-0700,12
47780,BJ-1400,EK-0200,2
47854,PM-0200,OS-0800,78
47875,PM-0200,RP-0800,14
47912,PM-0200,TL-0500,23
48078,AB-2900,SW-1500,5
48234,MH-1600,CC-4400,0
48329,JK-1500,RM-3300,8
48339,JK-1500,JS-1500,2
48454,JK-1500,RM-3300,0
48544,JF-1400,DB-2800,0
48603,JF-1400,LF-0300,0
48761,TB-0200,GW-0600,30
48888,AW-2100,AH-1000,14
49096,CC-1400,MB-4100,32
49145,CC-1400,BU-0200,10
49146,JM-4500,RB-4600,0
49147,CC-1400,TP-0400,26
49178,JM-4500,HC-0100,7
49368,MG-1600,RW-4100,0
49386,SM-2400,DS-4000,9
49407,RJ-1200,MJ-2200,9
49530,AV-0200,AG-0800,0
49758,TG-1600,DO-0200,0
49777,BG-1900,MP-0600,0
49847,TG-1600,DO-0200,0
49866,TG-1600,DO-0200,42
49889,TG-1600,DO-0200,27
49901,JF-1400,MV-0400,15
50073,DC-4400,JB-2900,0
50123,AB-2900,EK-0200,-9
50288,KC-2000,SS-1000,0
50333,TB-0200,JS-1700,0
50345,KC-2000,IO-0100,12
50354,TB-0200,JS-1700,34
50533,DM-2200,KL-0500,25
50646,JP-3200,JT-3400,14
50729,JK-1500,CS-1100,26
50916,TD-1400,AB-1000,0
51016,BF-0100,DA-0100,13
51033,BF-0100,SQ-0100,98
51121,BF-0100,DJ-0300,0
51170,CW-1300,LS-0300,0
51225,JG-0600,DE-1200,39
51270,CW-1300,JW-1600,31
51299,CW-1300,AP-1700,0
51367,TD-1100,DB-2800,93
51397,CB-0900,DM-1000,0
51613,CC-1400,JW-1600,15
51678,CW-1300,CC-2400,3
51691,AB-2900,DE-1200,8
51872,JM-4500,DB-0900,7
51928,JM-4500,KL-0500,0
52207,EG-0600,MM-2700,0
52228,EG-0600,DS-1600,6
52393,TG-1600,CS-1100,61
52595,DC-4400,TL-1300,0
52954,JF-1400,MJ-2200,0
52960,JF-1400,VG-0200,0
53000,BG-1900,RT-1200,55
53082,BG-1900,SS-2600,0
53108,BG-1900,RT-1200,7
53214,KW-0500,SG-0300,5
53223,KC-2000,DM-1000,23
53293,KC-2000,GW-1700,-4
53323,SM-2400,DB-4200,10
53418,BJ-1400,AD-1700,0
53543,PM-0200,AD-1500,39
53652,PM-0200,TJ-0800,0
53711,AW-2100,FS-0400,36
53875,MB-4500,KI-0100,0
53947,MB-4500,TT-1400,0
54075,TG-1600,KL-0500,22
54115,TG-1600,CC-1500,0
54158,JK-1500,RM-3400,43
54301,EG-0600,DR-3500,0
54335,EG-0600,AH-2700,22
54447,SM-2400,RR-0500,1
54506,SM-2400,CC-1800,6
54551,CB-0900,RG-1200,5
54831,BF-0100,KW-2400,27
54943,AB-2900,DG-1800,7
54972,CC-1400,CO-0800,0
55152,VT-0200,AW-1300,42
55279,BG-1900,RM-3300,0
55332,DF-1300,EB-1700,0
55384,BG-1900,AF-0800,0
55426,KS-2300,RB-0700,0
55514,KS-2300,RB-0700,10
55523,BJ-1400,ML-2300,0
55594,CW-1300,DT-0400,0
55610,TB-0200,DE-1200,0
55618,CW-1300,KL-0100,14
55635,CW-1300,OL-0100,1
55681,CW-1300,LA-0600,67
55743,DM-2200,SW-1500,20
55892,TG-1600,CC-4500,9
56001,TG-1600,MP-1000,13
56030,TG-1600,IB-0100,0
56159,RC-2800,HN-0400,0
56283,VT-0200,DE-1200,49
56290,VT-0200,LT-0800,0
56323,VT-0200,MM-3400,30
56347,CW-1300,AG-0800,22
56425,JM-4500,AP-1700,0
56431,JG-0600,BU-0200,9
56470,SM-0900,ZB-0300,97
56542,JG-0600,MB-4100,33
56613,JP-3200,DH-2100,6
56645,JP-3200,DC-2400,10
56676,CS-4100,AW-1500,36
56730,DP-0500,EB-1700,0
56753,BG-1900,TB-3400,3
56770,BG-1900,MS-4700,9
56813,TB-2300,DW-0600,0
56826,TB-2300,DO-0200,0
56839,TB-2300,DW-0600,39
56845,TB-2300,DO-0200,31
56859,CB-0900,JS-4600,21
56903,JK-1500,RR-0500,8
56939,JK-1500,KS-0300,3
57002,CB-0900,DW-3400,16
57298,RJ-1200,JP-2100,37
57339,JF-1400,WW-0700,0
57360,JF-1400,WW-0700,0
57559,KW-0500,KM-0500,23
57589,KW-0500,SK-0500,13
