pid,qtr,min,sec,dwn,yds,pts,player,type
11716,2,9,59,2,53,6,FS-0100,REC
11775,3,6,54,1,5,7,FS-0100,REC
11785,4,14,12,1,6,7,TP-2100,RUSH
11836,1,13,27,2,2,7,RD-0700,RUSH
12004,1,7,25,2,43,7,DH-2200,REC
12024,2,15,0,2,5,7,WF-0100,REC
12151,1,11,40,3,35,7,MB-4100,INT
12179,2,15,0,3,4,7,JH-5200,REC
12195,2,11,12,1,47,7,JH-5200,REC
12256,3,6,48,1,2,7,RW-2600,RUSH
12279,4,9,44,4,29,7,AG-0900,REC
12350,2,14,2,1,80,7,CD-1500,RUSH
12366,2,10,22,3,19,7,DM-0500,REC
12378,2,3,31,2,36,7,DW-3400,INT
12402,3,12,9,1,5,7,EG-0200,RUSH
12483,1,9,32,1,42,7,JM-6400,REC
12520,2,11,40,1,13,7,JS-6500,REC
12542,2,1,43,2,42,7,LC-0100,INT
12576,3,7,19,2,30,7,HM-0400,REC
12585,3,4,39,3,5,8,AF-1300,REC
12607,4,11,27,3,7,7,WH-0600,REC
12695,2,1,58,2,20,7,LS-0700,REC
12760,4,10,6,1,3,7,SM-3400,RUSH
12769,4,4,59,1,20,7,SM-0200,FUM
12839,2,12,10,1,17,7,MH-1200,REC
12863,2,0,3,1,44,7,TS-1600,REC
12900,4,15,0,2,2,7,EB-1200,REC
12921,4,10,36,1,4,7,TG-1100,REC
13026,2,1,40,2,12,7,JB-3400,RUSH
13078,4,15,0,2,10,7,BS-1700,REC
13118,1,13,26,2,12,7,SD-0400,RUSH
13180,2,1,35,1,30,7,CJ-1400,REC
13227,4,15,0,2,8,7,NB-0700,REC
13238,4,10,48,1,3,7,SH-0900,RUSH
13287,1,12,5,3,2,7,EM-0500,REC
13351,2,0,57,2,26,7,FJ-0500,REC
13383,3,8,12,1,5,7,EM-0500,REC
13439,4,1,32,2,14,7,DC-0800,REC
13515,2,11,41,2,4,7,TO-0200,REC
13541,2,0,23,3,5,7,JR-2000,REC
13557,3,12,45,1,1,8,TW-1600,RUSH
13568,3,7,35,1,30,7,TB-2900,REC
