pid,blk,brcv
554766,BB-2600,BB-2600
554946,AC-0500,
555869,MW-1800,
556875,AC-0500,
558517,AW-1500,JB-3350
558564,RB-4300,RS-1000
558934,MD-0100,
559227,DW-1700,
560289,MH-1060,MH-1060
560924,CF-1000,KB-2450
563229,DB-5100,SK-0600
563996,JT-1300,
566078,OS-0200,BC-1200
567852,JB-3350,RT-0100
568245,CD-0200,MS-2400
569155,BP-0900,AV-0300
569371,DJ-2350,
571079,TP-1600,
572045,CD-2200,
573173,RJ-0800,JS-6650
573467,SJ-0650,SJ-0650
574391,JK-0250,
574411,LG-1000,DH-4250
575970,TP-2000,LG-0750
579787,CD-2200,RN-0300
582425,CJ-2050,SG-1400
583954,LG-1000,
584003,CL-1000,
585332,JW-1100,DS-5150
585518,JL-0500,CB-0450
586854,DM-2950,CT-0250
587386,JB-3350,
588539,JD-2150,TD-2600
589268,DW-1700,MB-3000
590673,JO-0300,
591293,JW-1100,SK-0200
591837,DG-2000,SL-0200
592056,SB-1600,
592287,JS-6650,GW-1400
596708,JW-5100,JT-3600
596872,AA-0850,AA-0850
597250,BL-1350,
597819,KO-0800,
599665,MB-3650,
600244,JW-4100,GM-0800
601864,BP-0900,
605614,JO-0550,CC-1050
608808,CM-1250,JT-3600
609230,BB-0400,BL-1150
609641,JM-4300,
609770,JW-1100,
609781,AB-1975,AB-1975
610571,JA-2825,
610859,AD-1300,DW-3125
611590,CJ-2050,CJ-2050
612390,TM-1750,MJ-0250
612437,TM-1750,RA-1350
612952,JT-3800,SL-0400
612975,AL-1200,
613924,AJ-0350,
614453,EG-0900,
614711,DM-2950,
615228,TK-0200,ES-1475
615550,TK-0800,
616274,WY-0300,
617650,TB-3950,BS-2400
618763,TC-0350,
619344,JC-1600,CM-0200
620960,RH-0150,
621723,SH-1000,
621751,JF-3150,CM-1250
622330,WG-0550,WG-0550
622767,DB-0500,MM-5200
623434,CJ-2150,
623713,LH-1900,
627181,OV-0200,MT-0850
627809,JN-1350,RJ-0550
628456,TM-1000,
628569,BW-2650,JH-0100
628795,JB-3350,PP-0400
629983,DA-2050,BB-4100
630882,EM-1200,DJ-2950
633234,BB-0400,
633289,BB-2600,MJ-0600
634251,RH-0150,
636319,DS-5100,EW-0400
636481,TK-0200,TJ-0950
636510,DS-1730,RH-3000
637142,AD-1300,ML-0500
637928,JH-0100,
638374,AT-0350,AT-0350
638408,JB-5700,EG-0900
639362,AW-1900,
640127,BC-1200,
642396,BB-2250,
642580,BJ-2100,
642628,RH-0150,
643056,MW-2300,
643420,JJ-4300,
643813,JC-3550,KA-1000
644319,DS-4300,KA-0400
644695,DW-4250,
645936,JR-0300,
646148,TF-0250,
646457,VW-0200,
647271,DB-0975,WH-0700
648225,IA-0100,
649179,JC-1600,TB-3950
650878,ST-0450,
651622,DJ-2350,
653503,CC-2600,
654281,JT-3800,
654860,AS-0600,MS-1300
655347,JC-5630,
655677,WG-0550,
657320,DM-1400,KW-0960
657724,RJ-0800,
660119,AT-0100,
661487,DA-2050,
663217,PM-0500,AS-0900
664293,DJ-2350,
664861,SW-1750,
665362,MM-1550,MM-1550
665662,JJ-3200,RR-1150
667600,JC-3550,
670096,AJ-0350,RM-5050
671403,AJ-0350,
671610,CH-3100,LT-0400
672110,DI-0200,JW-3050
672623,MM-4500,MM-4500
673145,CS-1250,
675743,ZV-0100,
676331,KM-1150,
678359,LG-1000,
678867,IW-0100,
679713,TC-2950,SL-0500
680391,JB-5775,
680909,DA-2050,
681221,HP-0200,PT-0450
681695,CH-3100,
682103,BU-0150,WH-0750
682861,KW-1400,
683524,CD-2200,
683779,EG-0350,
684330,CM-0200,NG-0350
685113,QD-0200,AB-3850
688326,DR-2800,PA-0300
689166,DA-2050,CL-1300
689687,CD-2200,
690851,DS-3162,
691394,TA-0600,
691744,JG-1050,HJ-0300
693078,CJ-2400,
694435,DA-0350,
695020,DJ-1750,JW-0750
697675,MH-3750,
698949,CM-0250,
698980,JJ-4300,
699998,LG-1000,
700902,JH-0840,JJ-1550
701180,AB-3100,
703032,BU-0150,ZO-0100
703318,MH-3750,
704564,BL-1350,
704802,AC-2400,
708873,JJ-4300,
709268,CT-0900,
711481,DM-1475,
712010,RH-0150,
712693,AH-3050,
713015,BW-2020,
714742,BW-0150,BW-0150
714837,TM-1787,CM-0250
716766,SB-0225,
717776,TW-0160,GQ-0100
718240,JP-2900,JJ-1550
718459,JA-1025,CM-2675
719385,JH-5900,
720194,JS-3150,
721589,SM-1050,
721948,VB-0375,LK-0600
722091,JB-3350,
722740,SM-0500,
723678,BL-1350,
726175,DA-2050,
726325,AB-2700,DH-2950
727450,RH-0150,
729514,JP-2850,
730346,LJ-1700,XR-0100
731678,SM-1050,LG-1000
732063,WA-0050,WA-0050
734659,VB-0375,
735431,JM-3950,
735820,PS-0550,
736031,HR-0100,
736149,RG-2375,
736590,MH-3750,
737569,KS-0850,ST-0550
738089,SM-2450,NG-0350
738600,DS-2200,AM-2950
739186,CR-0750,KW-1250
739662,CJ-2150,
